5,1/5/2017,9:57,12:10,,,,,,
5,1/71/2017,9:53,12:18,17:01,21:53,,,,
7,1/5/2017,9:41,12:22,,,,,,
7,1/7/2017,9:41,12:24,16:34,22:01,,,,
8,1/5/2017,9:54,12:32,,,,,,
8,1/7/2017,9:51,12:24,16:36,22:04,,,,
9,1/5/2017,9:55,12:16,,,,,,
9,1/7/2017,9:59,12:21,16:30,22:01,,,,
10,1/5/2017,8:22,14:00,,,,,,
10,1/7/2017,8:02,16:59,,,,,,
11,1/5/2017,9:13,12:12,,,,,,
11,1/7/2017,9:16,12:07,16:15,21:05,,,,
13,1/5/2017,8:15,13:57,,,,,,
13,1/7/2017,8:01,16:58,,,,,,
14,1/5/2017,8:17,14:07,,,,,,
14,1/7/2017,8:31,17:00,,,,,,
18,1/5/2017,9:18,14:03,,,,,,
19,1/5/2017,8:13,14:00,,,,,,
19,1/7/2017,8:03,16:59,,,,,,
23,1/5/2017,9:48,12:77,,,,,,
23,1/7/2017,9:48,12:27,16:46,22:01,,,,
29,1/5/2017,10:08,12:35,,,,,,
29,1/7/2017,9:56,12:29,17:02,22:00,,,,
32,1/5/2017,7:27,14:36,,,,,,
32,1/7/2017,7:22,17:36,,,,,,
34,1/5/2017,7:26,14:36,,,,,,
34,1/7/2017,7:22,17:36,,,,,,
43,1/4/2017,12:08,16:55,,,,,,
43,1/5/2017,8:14,13:58,,,,,,
43,1/7/2017,8:00,16:57,,,,,,
52,1/5/2017,7:22,14:34,,,,,,
52,1/7/2017,7:20,17:43,,,,,,
53,1/5/2017,7:23,14:32,,,,,,
53,1/7/2017,7:20,17:31,,,,,,
59,1/5/2017,8:22,14:00,,,,,,
59,1/7/2017,10:08,17:01,,,,,,
60,1/5/2017,7:00,19:01,,,,,,
60,1/6/2017,7:00,19:00,,,,,,
60,1/7/2017,7:00,19:00,,,,,,
68,1/5/2017,6:28,14:03,15:22,16:02,,,,
68,1/7/2017,6:28,17:02,18:17,18:56,,,,
75,1/5/2017,7:28,14:03,,,,,,
75,1/7/2017,7:41,17:03,,,,,,
83,1/5/2017,6:47,13:59,,,,,,
83,1/7/2017,6:44,,,,,,,
84,1/5/2017,7:37,14:30,,,,,,
84,1/7/2017,7:49,15:00,,,,,,
85,1/5/2017,7:23,14:32,,,,,,
85,1/7/2017,7:20,17:33,,,,,,
89,1/5/2017,7:00,19:01,,,,,,
89,1/6/2017,7:01,18:59,,,,,,
89,1/7/2017,6:59,18:59,,,,,,
90,1/5/2017,8:15,13:55,,,,,,
90,1/7/2017,8:01,16:55,,,,,,
91,1/5/2017,9:28,12:24,,,,,,
91,1/7/2017,9:30,12:24,16:31,22:00,,,,
92,1/5/2017,9:41,12:31,,,,,,
92,1/7/2017,9:42,12:24,16:33,22:03,,,,
94,1/5/2017,6:58,14:06,,,,,,
94,1/7/2017,6:50,17:11,,,,,,
101,1/5/2017,9:59,12:23,,,,,,
101,1/7/2017,10:03,12:27,16:36,22:01,,,,
115,1/5/2017,9:40,12:32,,,,,,
115,1/7/2017,9:41,12:26,16:30,22:04,,,,
116,1/5/2017,8:20,14:03,,,,,,
116,1/7/2017,8:06,16:58,,,,,,
118,1/5/2017,7:26,14:37,,,,,,
118,1/7/2017,7:21,17:36,,,,,,
119,1/5/2017,8:23,14:10,,,,,,
119,1/7/2017,8:36,16:01,,,,,,
125,1/5/2017,8:17,13:59,,,,,,
125,1/7/2017,8:17,16:59,,,,,,
138,1/5/2017,6:59,14:07,,,,,,
138,1/7/2017,6:51,17:05,,,,,,
140,1/5/2017,9:39,12:12,,,,,,
140,1/7/2017,9:04,12:07,16:16,21:04,,,,
141,1/5/2017,6:48,14:10,,,,,,
141,1/7/2017,6:45,17:09,,,,,,
144,1/5/2017,8:57,14:06,,,,,,
144,1/7/2017,9:12,17:01,,,,,,
159,1/5/2017,7:28,14:31,,,,,,
159,1/7/2017,7:27,17:33,,,,,,
162,1/5/2017,7:50,13:58,,,,,,
162,1/7/2017,7:49,16:59,,,,,,
184,1/5/2017,7:25,14:33,,,,,,
192,1/5/2017,7:23,14:10,,,,,,
192,1/7/2017,7:18,17:07,,,,,,
195,1/5/2017,7:25,14:35,,,,,,
195,1/7/2017,7:19,17:35,,,,,,
215,1/5/2017,6:59,14:08,,,,,,
215,1/7/2017,6:50,17:06,,,,,,
224,1/5/2017,6:59,14:09,,,,,,
224,1/7/2017,6:50,17:08,,,,,,
225,1/5/2017,7:28,14:39,,,,,,
225,1/7/2017,7:35,17:39,,,,,,
227,1/5/2017,7:00,14:14,,,,,,
227,1/7/2017,6:51,17:13,,,,,,
229,1/5/2017,7:24,14:35,,,,,,
229,1/7/2017,7:17,17:35,,,,,,
232,1/5/2017,7:24,14:40,,,,,,
232,1/7/2017,7:21,17:40,,,,,,
242,1/5/2017,7:21,14:30,,,,,,
242,1/7/2017,7:19,17:43,,,,,,
245,1/5/2017,6:59,16:03,,,,,,
245,1/7/2017,6:51,19:01,,,,,,
259,1/5/2017,7:21,14:35,,,,,,
259,1/7/2017,7:19,17:35,,,,,,
260,1/5/2017,7:21,14:41,,,,,,
260,1/7/2017,7:19,17:41,,,,,,
263,1/5/2017,8:31,13:52,,,,,,
263,1/7/2017,8:09,16:54,,,,,,
267,1/5/2017,7:22,14:35,,,,,,
267,1/7/2017,7:20,17:34,,,,,,
287,1/5/2017,8:13,14:02,,,,,,
287,1/7/2017,7:49,12:28,,,,,,
290,1/5/2017,6:59,14:14,,,,,,
290,1/7/2017,7:20,17:13,,,,,,
292,1/5/2017,7:21,14:11,,,,,,
292,1/7/2017,7:19,17:09,,,,,,
302,1/5/2017,7:26,14:11,,,,,,
302,1/7/2017,7:22,17:09,,,,,,
308,1/7/2017,6:49,17:07,,,,,,
311,1/5/2017,7:22,14:41,,,,,,
311,1/7/2017,7:17,17:42,,,,,,
345,1/5/2017,6:58,14:08,,,,,,
345,1/7/2017,6:49,17:12,,,,,,
346,1/5/2017,7:22,14:32,,,,,,
346,1/7/2017,7:19,17:44,,,,,,
364,1/5/2017,6:48,14:05,,,,,,
364,1/7/2017,6:45,17:03,,,,,,
367,1/5/2017,6:48,14:12,,,,,,
367,1/7/2017,6:45,17:10,,,,,,
376,1/5/2017,9:18,14:06,,,,,,
379,1/5/2017,7:50,14:02,,,,,,
379,1/7/2017,8:41,17:01,,,,,,
431,1/5/2017,9:52,12:35,,,,,,
431,1/7/2017,9:50,12:30,17:02,22:00,,,,
440,1/5/2017,7:50,13:58,,,,,,
440,1/7/2017,7:50,16:59,,,,,,
470,1/5/2017,6:49,14:05,,,,,,
470,1/7/2017,7:19,17:03,,,,,,
472,1/5/2017,6:48,13:59,,,,,,
472,1/7/2017,6:45,16:58,,,,,,
480,1/5/2017,8:12,13:57,,,,,,
480,1/7/2017,8:19,16:57,,,,,,
483,1/5/2017,6:48,19:01,,,,,,
483,1/6/2017,7:01,18:58,,,,,,
483,1/7/2017,6:45,19:01,,,,,,
484,1/5/2017,7:01,19:01,,,,,,
484,1/6/2017,7:01,19:00,,,,,,
484,1/7/2017,7:00,19:00,,,,,,
503,1/5/2017,7:23,14:38,,,,,,
503,1/7/2017,7:20,17:39,,,,,,
504,1/5/2017,7:22,14:38,,,,,,
504,1/7/2017,7:20,17:39,,,,,,
507,1/5/2017,7:24,14:35,,,,,,
507,1/7/2017,7:19,17:35,,,,,,
508,1/5/2017,7:23,14:41,,,,,,
508,1/7/2017,7:20,17:41,,,,,,
510,1/5/2017,7:22,14:32,,,,,,
510,1/7/2017,7:20,17:43,,,,,,
512,1/5/2017,6:59,14:13,,,,,,
512,1/7/2017,6:51,17:11,,,,,,
531,1/5/2017,7:22,14:11,,,,,,
531,1/7/2017,6:50,17:09,,,,,,
535,1/5/2017,6:56,14:13,,,,,,
535,1/7/2017,7:20,17:12,,,,,,
547,1/5/2017,7:50,14:01,,,,,,
547,1/7/2017,7:50,17:00,,,,,,
548,1/5/2017,7:22,14:34,,,,,,
548,1/7/2017,7:18,17:33,,,,,,
567,1/5/2017,7:25,14:33,,,,,,
567,1/7/2017,7:18,17:33,,,,,,
574,1/5/2017,7:40,14:35,,,,,,
575,1/5/2017,6:58,14:09,,,,,,
575,1/7/2017,6:49,17:07,,,,,,
580,1/5/2017,6:48,14:04,,,,,,
580,1/7/2017,6:49,10:02,,,,,,
581,1/5/2017,7:24,14:33,,,,,,
581,1/7/2017,7:17,17:33,,,,,,
583,1/5/2017,6:48,14:04,,,,,,
583,1/7/2017,6:45,17:03,,,,,,
588,1/5/2017,6:49,19:01,,,,,,
588,1/6/2017,7:01,19:00,,,,,,
588,1/7/2017,6:46,19:00,,,,,,
589,1/5/2017,6:50,19:00,,,,,,
589,1/6/2017,10:59,13:50,,,,,,
589,1/7/2017,6:47,19:01,,,,,,
590,1/5/2017,7:40,13:59,,,,,,
590,1/7/2017,8:06,16:39,,,,,,
594,1/5/2017,7:40,14:03,,,,,,
594,1/7/2017,8:06,16:38,,,,,,
602,1/5/2017,7:21,14:38,,,,,,
602,1/7/2017,7:19,17:39,,,,,,
603,1/5/2017,7:21,14:34,,,,,,
603,1/7/2017,7:19,17:34,,,,,,
604,1/5/2017,7:40,14:35,,,,,,
604,1/7/2017,7:35,17:33,,,,,,
605,1/5/2017,7:25,14:31,,,,,,
605,1/7/2017,7:20,17:32,,,,,,
606,1/5/2017,7:24,14:34,,,,,,
606,1/7/2017,7:17,17:33,,,,,,
610,1/5/2017,9:51,12:36,,,,,,
610,1/7/2017,9:50,12:31,16:52,22:00,,,,
613,1/5/2017,6:27,13:30,,,,,,
613,1/7/2017,6:27,16:29,,,,,,
