8037,1/17/2017,7:59,17:00,,,,,,
8037,1/22/2017,8:00,17:00,,,,,,
8037,1/1/2017,7:56,17:01,,,,,,
8037,1/2/2017,7:53,17:00,,,,,,
8037,1/3/2017,7:58,17:00,,,,,,
8037,1/4/2017,7:52,17:00,,,,,,
8037,1/5/2017,7:58,17:01,,,,,,
8037,1/7/2017,7:59,20:00,,,,,,
8037,1/8/2017,7:59,19:58,,,,,,
8037,1/9/2017,7:56,20:03,,,,,,
8037,1/11/2017,7:57,17:01,,,,,,
8037,1/12/2017,8:00,20:00,,,,,,
8037,1/15/2017,8:02,16:59,,,,,,
8037,1/16/2017,7:57,17:00,,,,,,
8037,1/18/2017,7:58,17:02,,,,,,
8037,1/19/2017,7:53,16:59,,,,,,
8037,1/21/2017,7:58,16:59,,,,,,
8037,1/23/2017,7:55,19:59,,,,,,
8037,1/24/2017,7:55,,,,,,,
8037,2/28/2017,8:00,17:00,,,,,,
8037,2/27/2017,12:46,16:58,,,,,,
8037,3/5/2017,7:59,17:00,,,,,,
8037,3/1/2017,7:56,16:58,,,,,,
8037,3/2/2017,8:07,16:59,,,,,,
8037,3/8/2017,7:57,16:08,,,,,,
8037,3/9/2017,20:02,,,,,,,
8037,3/4/2017,7:55,16:59,,,,,,
8037,3/29/2017,7:57,17:00,,,,,,
8037,3/10/2017,7:11,,,,,,,
8037,3/12/2017,7:52,16:58,,,,,,
8037,3/13/2017,8:00,17:00,,,,,,
8037,3/14/2017,7:58,16:58,,,,,,
8037,3/15/2017,7:53,,,,,,,
8037,3/16/2017,8:01,,,,,,,
8037,3/18/2017,7:55,19:52,,,,,,
8037,3/19/2017,8:01,20:00,,,,,,
8037,3/20/2017,8:06,19:50,,,,,,
8037,3/21/2017,8:00,,,,,,,
8037,3/30/2017,7:54,17:01,,,,,,
8037,3/25/2017,7:55,17:00,,,,,,
8037,3/26/2017,7:55,17:00,,,,,,
8037,3/27/2017,7:58,19:59,,,,,,
8037,3/28/2017,7:59,17:01,,,,,,
8037,4/1/2017,7:54,16:59,,,,,,
8037,3/6/2017,8:03,16:59,,,,,,
8037,3/7/2017,8:04,17:00,,,,,,
8037,4/2/2017,7:59,16:59,,,,,,
8037,4/3/2017,7:59,16:59,,,,,,
8037,4/4/2017,7:54,16:59,,,,,,
8037,4/5/2017,7:53,16:59,,,,,,
8037,4/6/2017,7:53,19:59,,,,,,
8037,4/8/2017,7:53,16:57,,,,,,
8037,4/9/2017,7:56,16:58,,,,,,
8037,4/10/2017,7:51,16:59,,,,,,
8037,4/13/2017,7:57,13:02,,,,,,
8037,4/11/2017,7:57,17:00,,,,,,
8037,4/12/2017,7:56,17:00,,,,,,
8037,4/15/2017,7:56,17:01,,,,,,
